ID-Lattes,Nome,Título,Ano,Pais,Finalidade,Instituição-financiadora,Palavras-chave,Autores,Quantidade-autores,Tipo-patente,Código-do-registro-ou-patente,Data-pedido-depósito,Data-pedido-exame,Data-concessao,Instituição-depósito-registro,Número-depósito-PCT,Data-deposito-PCT,Nome-titular,Nome-depositante,Casamento-Levenshtein,GOOGLE-Id,GOOGLE-Number,GOOGLE-Title
'7300207658471022,Adley Forti Rubira,Microesfera magnética sítio-específica à base de pectina e dióxido de titânio para liberação controlada de fármacos,2014,Brasil,,,[],"Rubira, Adley F.; KUNITA, M. H.",2,PRIVILEGIO_DE_INOVACAO_PI,BR1020140317406,18122014,,,INPI - Instituto Nacional da Propriedade Industrial,,,,Marcos Hiroiuki Kunita;Marcos R. Guilherme;Marcos R. Guilherme;Elisangela P. da Silva;Elisangela P. da Silva;Universidade Estadual de Maringá,"1,00",patent/BR102014031740B1/en,BR102014031740B1,Site-specific magnetic microsphere based on pectin and titanium dioxide for controlled drug release 
'0034894070455412,Ado Jorio de Vasconcelos,Calibrating tip-enhanced raman microscopes,2018,Estados Unidos,,,[],"Ado Jorio; ENGEL, MICHAEL; STEINER, MATHIAS; CANÇADO, L. G.; Rabelo, Cassiano; MIRANDA, HUDSON",6,PRIVILEGIO_DE_INOVACAO_PI,US20190383854A1,17062018,,31032020,United States Patent and Trademark Office,,,,Ibm Coorporation;Universidade Federal de Minas Gerais,"1,00",patent/US20190383854A1/en,US20190383854A1,Calibrating tip-enhanced raman microscopes 
'0034894070455412,Ado Jorio de Vasconcelos,Miniaturized precision agriculture,2017,Estados Unidos,,,[],"Ado Jorio; STEINER, MATHIAS; ENGEL, MICHAEL; SILVA, A. F. D.; OHTA, R. L.",5,PRIVILEGIO_DE_INOVACAO_PI,US20190195851A1,25122017,,10112020,United States Patent and Trademark Office,,,,Universidade Federal de Minas Gerais;Ibm Coorporation,"1,00",patent/US20190195851A1/en,US20190195851A1,Miniaturized precision agriculture 
'0034894070455412,Ado Jorio de Vasconcelos,METALLIC DEVICE FOR SCANNING NEAR-FIELD OPTICAL MICROSCOPY AND SPECTROSCOPY AND METHOD FOR MANUFACTURING SAME,2017,Estados Unidos,,,[],"Thiago de Lourenço e Vasconcelos; Archanjo, Braulio S.; Cançado, L. G.; Jorio, A; FRAGNEAUD, B.; RIBEIRO, D. S.; SILVA, C. R. E.; OLIVEIRA, B. S.; Achete, C. A.",9,PRIVILEGIO_DE_INOVACAO_PI,US10274514,07112017,,30042019,United States Patent and Trademark Office,,,,"Instituto Nacional de Metrologia, Qualidade e Tecnologia","1,00",patent/US10274514B2/en,US10274514B2,Metallic device for scanning near-field optical microscopy and spectroscopy and method for manufacturing same 
'0034894070455412,Ado Jorio de Vasconcelos,METALLIC DEVICE FOR SCANNING NEAR-FIELD OPTICAL MICROSCOPY AND SPECTROSCOPY AND METHOD FOR MANUFACTURING SAME,2017,Alemanha,,,[],"Thiago de Lourenço e Vasconcelos; ARCHANJO, B. S.; CANÇADO, L. G.; ACHETE, C. A.; RODRIGUES, W. N.; Vasconcelos, AdoJorio; FRAGNEAUD, B.; RIBEIRO, D. S.; SILVA, C. R. E.; OLIVEIRA, B. S.",10,PRIVILEGIO_DE_INOVACAO_PI,EP3293526A1,29112017,,,European Patent Office,,,,"Instituto Nacional de Metrologia, Qualidade e Tecnologia","1,00",patent/EP3293526A1/en,EP3293526A1,Metallic device for scanning near-field optical microscopy and spectroscopy and method for manufacturing same 
'0034894070455412,Ado Jorio de Vasconcelos,METALLIC DEVICE FOR SCANNING PROBE MICROSCOPY AND METHOD FOR MANUFACTURING SAME,2018,Estados Unidos,,,[],"Thiago de Lourenço e Vasconcelos; CARVALHO, B. C.; ACHETE, C. A.; Archanjo, Braulio S.; Vasconcelos, AdoJorio; CANÇADO, L. G.; RODRIGUES, W. N.; WETZSTEIN, C. A. S.; VALASKI, R.; Rabelo, Cassiano",10,PRIVILEGIO_DE_INOVACAO_PI,US10605827,14062018,,31032020,United States Patent and Trademark Office,,,,"Universidade Federal de Minas Gerais;Instituto Nacional de Metrologia, Qualidade e Tecnologia","1,00",patent/US10605827B2/en,US10605827B2,Metallic device for scanning probe microscopy and method for manufacturing same 
'0034894070455412,Ado Jorio de Vasconcelos,METALLIC DEVICE FOR SCANNING PROBE MICROSCOPY AND METHOD FOR MANUFACTURING SAME,2018,Alemanha,,,[],"Thiago de Lourenço e Vasconcelos; CARVALHO, B. C.; ACHETE, C. A.; ARCHANJO, B. S.; Vasconcelos, AdoJorio; CANÇADO, L. G.; RODRIGUES, W. N.; WETZSTEIN, C. A. S.; VALASKI, R.; SILVA, C. R. E.",10,PRIVILEGIO_DE_INOVACAO_PI,EP3392663A1,12072018,,,European Patent Office,,,,"Instituto Nacional de Metrologia, Qualidade e Tecnologia","1,00",patent/EP3392663A1/en,EP3392663A1,Metallic device for scanning probe microscopy and method for manufacturing same 
'7316338454902623,Afonso Luís Barth,MÉTODO E KIT PARA TRANSPORTE DE CÉLULAS BACTERIANAS INATIVADAS EM PAPEL FILTRO PARA ANÁLISE,2019,Brasil,,,[],,1,PRIVILEGIO_DE_INOVACAO_PI,BR1020190158581,31072019,,,INPI - Instituto Nacional da Propriedade Industrial,,,,Afonso Luís Barth;Afonso Luís Barth;Maiara dos Santos Carneiro;Maiara dos Santos Carneiro;Hospital de Clínicas de Porto Alegre;Universidade Federal do Rio Grande do Sul,"1,00",patent/BR102019015858A2/en,BR102019015858A2,METHOD AND KIT FOR TRANSPORTING INACTIVATED BACTERIAL CELLS ON FILTER PAPER FOR ANALYSIS 
'2153321168945169,Aldo Ângelo Moreira Lima,Stable glutamine derivatives for oral and intravenous rehydration and nutrition therapy,1996,Estados Unidos,,,[],"GUERRANT, R. L.; GUERRANT, R. L.; MACDONALD, T. L.; AAM, LIMA; AAM, LIMA; Thielman, N.M.",6,MODELO_DE_UTILIDADE_MU,5561111,01101996,,,The University of Virginia Patent Foundation,5561111,,,Thomas Miller;Thomas Miller;Timothy L. MacDonald;Nathan M. Thielman,"1,00",patent/US5561111A/en,US5561111A,Stable glutamine derivatives for oral and intravenous rehydration and nutrition therapy 
'8289325716140743,Alessandro Dourado Loguercio,PROCESSO E EQUIPAMENTO PARA TESTE DE CICLAGEM TÉRMICA DE MATERIAIS ODONTOLÓGICOS,2015,Brasil,,,[],"LOGUERCIO, A",1,PRIVILEGIO_DE_INOVACAO_PI,BR1020130202860,11082015,,,INPI - Instituto Nacional da Propriedade Industrial,,,,"Rafael PAtzlaff;Alessandro Dourado Loguercio;BAUER, J;Saulo Geraldeli","1,00",patent/BR102013020286A2/en,BR102013020286A2,Process and equipment for thermal cycling testing of dental materials 
