Colonne1;Colonne2;Colonne3
Absorb;Divided Solid;Activated Alumina
Absorb;Divided Solid;Activated Carbon
Absorb;Divided Solid;Adhesive
Absorb;Divided Solid;Aerogels
Absorb;Divided Solid;Amphiphiles
Absorb;Divided Solid;Binder
Absorb;Divided Solid;Bingham Plastic
Absorb;Divided Solid;Brush
Absorb;Divided Solid;Creaming
Absorb;Divided Solid;Cyclone Separation
Absorb;Divided Solid;Diffusion
Absorb;Divided Solid;Electret
Absorb;Divided Solid;Electrophoresis
Absorb;Divided Solid;Foam
Absorb;Divided Solid;Fractal Forms
Absorb;Divided Solid;Gel
Absorb;Divided Solid;Gettering
Absorb;Divided Solid;Metal Foam
Absorb;Divided Solid;Nanoporous Material
Absorb;Divided Solid;Nap
Absorb;Divided Solid;Ostwald Ripening
Absorb;Divided Solid;Oxidation
Absorb;Divided Solid;Physisorption
Absorb;Divided Solid;Porosity
Absorb;Divided Solid;Reduction
Absorb;Divided Solid;Reticulated Foam
Absorb;Divided Solid;Solvation
Absorb;Divided Solid;Sorption
Absorb;Divided Solid;Sponge
Absorb;Divided Solid;Supercritical Fluid
Absorb;Divided Solid;Supercritical Fluid Extraction
Absorb;Divided Solid;Supersaturation
Absorb;Divided Solid;Suspension
Absorb;Divided Solid;Vacuum
Absorb;Divided Solid;Zeolite
Absorb;Divided Solid;Activated Alumina
Absorb;Divided Solid;Activated Carbon
Absorb;Divided Solid;Adhesive
Absorb;Divided Solid;Aerogels
Absorb;Divided Solid;Amphiphiles
Absorb;Divided Solid;Binder
Absorb;Divided Solid;Bingham Plastic
Absorb;Divided Solid;Brush
Absorb;Divided Solid;Creaming
Absorb;Divided Solid;Cyclone Separation
Absorb;Divided Solid;Diffusion
Absorb;Divided Solid;Electret
Absorb;Divided Solid;Electrophoresis
Absorb;Divided Solid;Foam
Absorb;Divided Solid;Fractal Forms
Absorb;Divided Solid;Gel
Absorb;Divided Solid;Gettering
Absorb;Divided Solid;Metal Foam
Absorb;Divided Solid;Nanoporous Material
Absorb;Divided Solid;Nap
Absorb;Divided Solid;Ostwald Ripening
Absorb;Divided Solid;Oxidation
Absorb;Divided Solid;Physisorption
Absorb;Divided Solid;Porosity
Absorb;Divided Solid;Reduction
Absorb;Divided Solid;Reticulated Foam
Absorb;Divided Solid;Solvation
Absorb;Divided Solid;Sorption
Absorb;Divided Solid;Sponge
Absorb;Divided Solid;Supercritical Fluid
Absorb;Divided Solid;Supercritical Fluid Extraction
Absorb;Divided Solid;Supersaturation
Absorb;Divided Solid;Suspension
Absorb;Divided Solid;Vacuum
Absorb;Divided Solid;Zeolite
Absorb;Field;Ablation
Absorb;Field;Absorption (EM radiation)
Absorb;Field;Absorptive Filter
Absorb;Field;Accumulator (energy)
Absorb;Field;Acoustics
Absorb;Field;Acousto optic Effect
Absorb;Field;Aerogels
Absorb;Field;Aerosol
Absorb;Field;Angular Momentum Conservation
Absorb;Field;Artificial Photosynthesis
Absorb;Field;Auxetic Materials
Absorb;Field;Auxetic Structures
Absorb;Field;Battery (electricity)
Absorb;Field;Biot Savart Effect
Absorb;Field;Boiling
Absorb;Field;Bolometer
Absorb;Field;Bong Cooler
Absorb;Field;Bourdon Spring
Absorb;Field;Brewster's Angle
Absorb;Field;Bridgman Effect
Absorb;Field;Buckypaper
Absorb;Field;Capacitance
Absorb;Field;Centrifugal Govenor
Absorb;Field;Chemical Bonding
Absorb;Field;Christiansen Effect
Absorb;Field;Cold forming
Absorb;Field;Compression
Absorb;Field;Concentrated Photovoltaics
Absorb;Field;Converse Piezoelectric Effect
Absorb;Field;Corona Discharge
Absorb;Field;Curie Point (ferromagnetic)
Absorb;Field;Curie Point (piezoelectric)
Absorb;Field;Damping
Absorb;Field;Deformation
Absorb;Field;Dellinger Effect
Absorb;Field;Dielectric Permittivity
Absorb;Field;Dilatant
Absorb;Field;Diode
Absorb;Field;Dispersion (of waves)
Absorb;Field;Drag
Absorb;Field;Earthing
Absorb;Field;Echo
Absorb;Field;Eddy Currents
Absorb;Field;Elasticity
Absorb;Field;Electrical Accumulator
Absorb;Field;Electrical Resistance
Absorb;Field;Electro Optic Effects
Absorb;Field;Electrochromism
Absorb;Field;Electrohydrodynamics
Absorb;Field;Electrolysis
Absorb;Field;Electromagnetic Induction
Absorb;Field;Electrophoresis
Absorb;Field;Electrorheological Effect
Absorb;Field;Electrostriction
Absorb;Field;Electroviscous Effect
Absorb;Field;Endothermic Reaction
Absorb;Field;Evaporative Cooler
Absorb;Field;Extrusion
Absorb;Field;Faraday Cage
Absorb;Field;Faraday Wave
Absorb;Field;Fatigue
Absorb;Field;Filter (electronic)
Absorb;Field;Filter (optical)
Absorb;Field;Flow Battery
Absorb;Field;Fluorescence
Absorb;Field;Flywheel
Absorb;Field;Folding
Absorb;Field;Franz Keldysh Effect
Absorb;Field;Friction
Absorb;Field;Fullerenes
Absorb;Field;Gear
Absorb;Field;Gimbal
Absorb;Field;Harmonic Oscillator
Absorb;Field;Heat Engine
Absorb;Field;Heat Exchanger
Absorb;Field;Heat Sink
Absorb;Field;Heating
Absorb;Field;Hooke's Law
Absorb;Field;Hydraulic Accumulator
Absorb;Field;Inclined Plane
Absorb;Field;Inductor
Absorb;Field;Intumescent Materials
Absorb;Field;Joule Heating
Absorb;Field;Laser Ablation
Absorb;Field;Latent Heat
Absorb;Field;Lever
Absorb;Field;Liquid Crystals
Absorb;Field;Lorentz Force
Absorb;Field;Magnetic Reluctance
Absorb;Field;Magnetic Saturation
Absorb;Field;Magnetocaloric Effect
Absorb;Field;Magnetorheological Fluid
Absorb;Field;Mechanical Accumulator
Absorb;Field;Mechanical Advantage
Absorb;Field;Mechanical Force
Absorb;Field;Melting
Absorb;Field;Metastability
Absorb;Field;Mirage (photothermal deflection)
Absorb;Field;Moebius resistor
Absorb;Field;Moment of Inertia
Absorb;Field;Nanofoam
Absorb;Field;Non Newtonian Fluids
Absorb;Field;Peltier Effect
Absorb;Field;Phase Change
Absorb;Field;Phononic Crystal
Absorb;Field;Phosphorescence
Absorb;Field;Photoacoustic Effect
Absorb;Field;Photochromism
Absorb;Field;Photoconductivity
Absorb;Field;Photodissociation
Absorb;Field;Photoelectric Effect
Absorb;Field;Photoionisation
Absorb;Field;Photoluminescence
Absorb;Field;Photonic Crystal
Absorb;Field;Photophoresis
Absorb;Field;Photosynthesis
Absorb;Field;Photovoltaic Effect
Absorb;Field;Piezoelectric Effect
Absorb;Field;Plenoptic Camera
Absorb;Field;Pockels Effect
Absorb;Field;Poisson's Effect
Absorb;Field;Pyroelectric Effect
Absorb;Field;Ratchet
Absorb;Field;Rayleigh Scattering
Absorb;Field;Reaction (physics)
Absorb;Field;Reaction Wheel
Absorb;Field;Rectenna
Absorb;Field;Refractory Material
Absorb;Field;Resonance
Absorb;Field;Reverberation
Absorb;Field;Rheopecty
Absorb;Field;Rubber Band Thermodynamics
Absorb;Field;Scattering
Absorb;Field;Shadow
Absorb;Field;Shear Thickening
Absorb;Field;Skin Effect
Absorb;Field;Smoke
Absorb;Field;Spatial Filter
Absorb;Field;Spring
Absorb;Field;Static Friction
Absorb;Field;Stick slip Phenomenon
Absorb;Field;Stress Relaxation
Absorb;Field;Sublimation
Absorb;Field;Super Black
Absorb;Field;Superconductivity
Absorb;Field;Tension
Absorb;Field;Terminal Velocity
Absorb;Field;Thermal Energy Storage
Absorb;Field;Thermal Expansion
Absorb;Field;Thermal Insulation
Absorb;Field;Thermochromic Paint
Absorb;Field;Thermochromism
Absorb;Field;Thermoluminescence
Absorb;Field;Thermolysis
Absorb;Field;Thermophoresis
Absorb;Field;Thompson Effect
Absorb;Field;Torque Oscillator
Absorb;Field;Torsion Spring
Absorb;Field;Total Internal Reflection
Absorb;Field;Tuned Mass Damper
Absorb;Field;Turbine
Absorb;Field;Velocity Ratio
Absorb;Field;Viscoelasticity
Absorb;Field;Weak Point
Absorb;Field;Wear
Absorb;Field;Wedge
Absorb;Field;Ablation
Absorb;Field;Absorption (EM radiation)
Absorb;Field;Absorptive Filter
Absorb;Field;Accumulator (energy)
Absorb;Field;Acoustics
Absorb;Field;Acousto optic Effect
Absorb;Field;Aerogels
Absorb;Field;Aerosol
Absorb;Field;Angular Momentum Conservation
Absorb;Field;Artificial Photosynthesis
Absorb;Field;Auxetic Materials
Absorb;Field;Auxetic Structures
Absorb;Field;Battery (electricity)
Absorb;Field;Biot Savart Effect
Absorb;Field;Boiling
Absorb;Field;Bolometer
Absorb;Field;Bong Cooler
Absorb;Field;Bourdon Spring
Absorb;Field;Brewster's Angle
Absorb;Field;Bridgman Effect
Absorb;Field;Buckypaper
Absorb;Field;Capacitance
Absorb;Field;Centrifugal Govenor
Absorb;Field;Chemical Bonding
Absorb;Field;Christiansen Effect
Absorb;Field;Cold forming
Absorb;Field;Compression
Absorb;Field;Concentrated Photovoltaics
Absorb;Field;Converse Piezoelectric Effect
Absorb;Field;Corona Discharge
Absorb;Field;Curie Point (ferromagnetic)
Absorb;Field;Curie Point (piezoelectric)
Absorb;Field;Damping
Absorb;Field;Deformation
Absorb;Field;Dellinger Effect
Absorb;Field;Dielectric Permittivity
Absorb;Field;Dilatant
Absorb;Field;Diode
Absorb;Field;Dispersion (of waves)
Absorb;Field;Drag
Absorb;Field;Earthing
Absorb;Field;Echo
Absorb;Field;Eddy Currents
Absorb;Field;Elasticity
Absorb;Field;Electrical Accumulator
Absorb;Field;Electrical Resistance
Absorb;Field;Electro Optic Effects
Absorb;Field;Electrochromism
Absorb;Field;Electrohydrodynamics
Absorb;Field;Electrolysis
Absorb;Field;Electromagnetic Induction
Absorb;Field;Electrophoresis
Absorb;Field;Electrorheological Effect
Absorb;Field;Electrostriction
Absorb;Field;Electroviscous Effect
Absorb;Field;Endothermic Reaction
Absorb;Field;Evaporative Cooler
Absorb;Field;Extrusion
Absorb;Field;Faraday Cage
Absorb;Field;Faraday Wave
Absorb;Field;Fatigue
Absorb;Field;Filter (electronic)
Absorb;Field;Filter (optical)
Absorb;Field;Flow Battery
Absorb;Field;Fluorescence
Absorb;Field;Flywheel
Absorb;Field;Folding
Absorb;Field;Franz Keldysh Effect
Absorb;Field;Friction
Absorb;Field;Fullerenes
Absorb;Field;Gear
Absorb;Field;Gimbal
Absorb;Field;Harmonic Oscillator
Absorb;Field;Heat Engine
Absorb;Field;Heat Exchanger
Absorb;Field;Heat Sink
Absorb;Field;Heating
Absorb;Field;Hooke's Law
Absorb;Field;Hydraulic Accumulator
Absorb;Field;Inclined Plane
Absorb;Field;Inductor
Absorb;Field;Intumescent Materials
Absorb;Field;Joule Heating
Absorb;Field;Laser Ablation
Absorb;Field;Latent Heat
Absorb;Field;Lever
Absorb;Field;Liquid Crystals
Absorb;Field;Lorentz Force
Absorb;Field;Magnetic Reluctance
Absorb;Field;Magnetic Saturation
Absorb;Field;Magnetocaloric Effect
Absorb;Field;Magnetorheological Fluid
Absorb;Field;Mechanical Accumulator
Absorb;Field;Mechanical Advantage
Absorb;Field;Mechanical Force
Absorb;Field;Melting
Absorb;Field;Metastability
Absorb;Field;Mirage (photothermal deflection)
Absorb;Field;Moebius resistor
Absorb;Field;Moment of Inertia
Absorb;Field;Nanofoam
Absorb;Field;Non Newtonian Fluids
Absorb;Field;Peltier Effect
Absorb;Field;Phase Change
Absorb;Field;Phononic Crystal
Absorb;Field;Phosphorescence
Absorb;Field;Photoacoustic Effect
Absorb;Field;Photochromism
Absorb;Field;Photoconductivity
Absorb;Field;Photodissociation
Absorb;Field;Photoelectric Effect
Absorb;Field;Photoionisation
Absorb;Field;Photoluminescence
Absorb;Field;Photonic Crystal
Absorb;Field;Photophoresis
