US2019352272,Novel Bridged Bicycloalkyl-Substituted Aminothiazoles and Their Methods of Use,"['CHILDERS WAYNE C', 'ABOU-GHARBIA MAGID A', 'MORTON GEORGE C', 'ISSA JEAN-PIERRE J', 'ZHANG HANGHANG']"
US2019353660,IDENTIFICATION OF CANCER PATIENTS SENSITIVE OR RESISTANT TO 5-FLUOROURACIL (5-FU),"['HEMBROUGH TODD A', 'CECCHI FABIOLA', 'SCOTT KERRY MINA']"
US2019353659,PANCREATIC CANCER DETECTION METHOD,"['HIGASHI KIYOSHI', 'SAITO KOICHI', 'YAMADA KEITA']"
US2019353644,PROFILE ANALYSIS OF CELL POLARITY,"['VIDI PIERRE-ALEXANDRE', 'BONIN KEITH']"
HRP20191482,18F-LABELED PSMA-TARGETED PET IMAGING AGENTS,"['BERKMAN CLIFFORD', 'STEKHOVA SVETLANA A']"
HRP20191424,METHODS OF TREATING CANCER PATIENTS WITH FARNESYL TRANSFERASE INHIBITORS,"['GUALBERTO ANTONIO', 'SCHOLZ CATHERINE ROSE']"
HRP20191461,NEW 2' AND/OR 5' AMINO-ACID ESTER PHOSPHORAMIDATE 3'-DEOXY ADENOSINE DERIVATIVES AS ANTI-CANCER COMPOUNDS,"['GRIFFITH HUGH', 'MCGUIGAN CHRISTOPHER', 'FERRARI VALENTINA', 'SERPI MICHAELA', 'JIMENEZ ANTUNEZ CARMEN']"
HRP20191445,NON-ANTAGONISTIC ANTIBODIES DIRECTED AGAINST THE ALPHA CHAIN OF THE IL7 RECEPTOR EXTRACELLULAR DOMAIN AND USE THEREOF IN CANCER TREATMENT,"['POIRIER NICOLAS', 'MARY CAROLINE']"
HRP20191460,COMPOUNDS USEFUL FOR TREATING CANCER,"['ROUX PIERRE', 'MAHUTEAU FLORENCE', 'NAJMAN ROMAIN', 'TAZI JAMAL', 'GADEA GILLES', 'SCHERRER DIDIER', 'BROCK CARSTEN', 'CAHUZAC NATHALIE']"
HRP20191449,ANTI-B7-H1 AND ANTI-CTLA-4 ANTIBODIES FOR TREATING NON-SMALL CELL LUNG CANCER,"['NARWAL RAJESH', 'ROBBINS PAUL', 'KARAKUNNEL JOYSON', 'DAR MOHAMMED M']"
USRE47731,Kinase inhibitors and method of treating cancer with same,"['SAMPSON PETER BRENT', 'LIU YONG', 'LI SZE-WAN', 'FORREST BRYAN T', 'PAULS HEINZ W', 'EDWARDS LOUISE G', 'FEHER MIKLOS', 'PATEL NARENDRA KUMAR B']"
BR112019012217,compostos de amino-triazolopiridina e seu uso no tratamento de cncer,"['ATTILLA KUAN TSUEI TING', 'FREDERICK WOOLF GOLDBERG', 'MAURICE RAYMOND VERSCHOYLE FINLAY']"
PL3157566,METHOD FOR TREATING CANCER USING A COMBINATION OF CHK1 AND ATR INHIBITORS,"['HELLEDAY THOMAS', 'SANJIV KUMAR']"
PL2968294,"7-BENZYL-10-(2-METHYLBENZYL)-2,6,7,8,9,10-HEXAHYDROIMIDAZO[1,2-A]PYRIDO[4,3-D]PYRIMIDIN-5(3H)-ON FOR USE IN THE TREATMENT OF CANCER","['STOGNIEW MARTIN', 'ALLEN JOSHUA E', 'NALLAGANCHU BHASKARA RAO', 'POTTORF RICHARD S', 'OLSON GARY L']"
PL3170005,METHOD FOR PREDICTING THE OUTCOME OF A TREATMENT WITH AFLIBERCEPT OF A PATIENT SUSPECTED TO SUFFER FROM A CANCER,"['CHIRON -BLONDEL MARIELLE', 'LAMBRECHTS DIETHER', 'MAGHERINI EMMANUELLE', 'THUILLIER VINCENT']"
PL3168214,"SUBSTITUTED 2-THIOXO-IMIDAZOLIDIN-4-ONES AND SPIRO ANALOGUES THEREOF, ACTIVE ANTI-CANCER INGREDIENT, PHARMACEUTICAL COMPOSITION, MEDICINAL PREPARATION, METHOD FOR TREATING PROSTATE CANCER",['IVACHTCHENKO ALEXANDRE VASILIEVICH']
PL2768985,COLORECTAL CANCER ASSOCIATED CIRCULATING NUCLEIC ACID BIOMARKERS,"['SCHUTZ EKKEHARD', 'BECK JULIA', 'URNOVITZ HOWARD']"
